Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro
144,20.118,39.818,100495.61,1.19,2.56463,13.45,14.186,14.126,14.075,4.754,4.864,4.883,4.873,8250.0,0.0,1.0
145,20.118,39.811,100494.266,1.19,2.56438,13.2,13.89,13.941,14.075,4.71,4.864,4.832,4.841,8304.0,0.0,1.0
146,20.107,39.811,100497.83,1.1901,2.5655,14.325,14.021,14.018,14.2,4.907,4.885,4.854,4.854,8357.0,0.0,1.0
147,20.118,39.818,100497.83,1.19,2.56538,14.2,14.075,14.054,14.2,4.885,4.885,4.864,4.86,8412.0,0.0,1.0
148,20.118,39.811,100491.58,1.19,2.56625,15.075,14.375,14.259,14.2,5.034,4.885,4.915,4.895,8466.0,0.0,1.0
149,20.118,39.803,100495.984,1.19,2.565,13.825,14.21,14.172,14.2,4.82,4.885,4.887,4.88,8519.0,0.0,1.0
150,20.118,39.811,100491.51,1.19,2.56625,15.075,14.469,14.353,14.2,5.034,4.885,4.931,4.911,8573.0,0.0,1.0
151,20.096,39.818,100491.11,1.19,2.5665,15.325,14.726,14.547,14.2,5.075,4.885,4.975,4.944,8627.0,0.0,1.0
152,20.096,39.795,100491.11,1.1901,2.56538,14.2,14.568,14.478,14.2,4.885,4.885,4.948,4.933,8681.0,0.0,1.0
153,20.128,39.803,100493.8,1.1899,2.56475,13.575,14.27,14.297,14.2,4.777,4.885,4.897,4.902,8734.0,0.0,1.0
154,20.107,39.818,100496.484,1.1901,2.56338,12.2,13.649,13.878,14.2,4.528,4.885,4.789,4.829,8788.0,0.0,1.0
155,20.128,39.811,100495.984,1.19,2.56463,13.45,13.59,13.792,14.2,4.755,4.885,4.779,4.815,8843.0,0.0,1.0
156,20.107,39.803,100495.984,1.1901,2.565,13.825,13.66,13.799,14.2,4.82,4.885,4.791,4.816,8896.0,0.0,1.0
157,20.118,39.818,100497.83,1.19,2.5665,15.325,14.16,14.104,14.2,5.075,4.885,4.878,4.869,8950.0,0.0,1.0
158,20.107,39.803,100492.85,1.19,2.565,13.825,14.059,14.048,14.2,4.82,4.885,4.861,4.859,9004.0,0.0,1.0
159,20.107,39.811,100489.32,1.19,2.56538,14.2,14.102,14.079,14.2,4.885,4.885,4.868,4.864,9058.0,0.0,1.0
160,20.128,39.803,100494.7,1.19,2.56438,13.2,13.831,13.903,14.2,4.71,4.885,4.821,4.834,9111.0,0.0,1.0
161,20.118,39.818,100494.7,1.19,2.56588,14.7,14.092,14.062,14.2,4.971,4.885,4.867,4.862,9165.0,0.0,1.0
162,20.128,39.803,100494.7,1.19,2.565,13.825,14.012,14.015,14.2,4.82,4.885,4.853,4.853,9220.0,0.0,1.0
163,20.107,39.818,100492.45,1.19,2.56388,12.7,13.618,13.752,14.2,4.62,4.885,4.784,4.808,9273.0,0.0,1.0
164,20.118,39.811,100492.45,1.19,2.56463,13.45,13.568,13.692,13.825,4.755,4.82,4.775,4.797,9327.0,0.0,1.0
165,20.118,39.803,100492.45,1.19,2.5645,13.325,13.495,13.618,13.825,4.732,4.82,4.762,4.784,9380.0,0.0,1.0
166,20.118,39.788,100488.88,1.1899,2.56363,12.45,13.182,13.385,13.825,4.574,4.82,4.707,4.743,9435.0,0.0,1.0
167,20.107,39.788,100490.67,1.19,2.56563,14.45,13.562,13.598,13.825,4.928,4.82,4.774,4.781,9488.0,0.0,1.0
168,20.128,39.811,100494.7,1.19,2.56625,15.075,14.016,13.893,13.825,5.034,4.82,4.854,4.832,9542.0,0.0,1.0
169,20.118,39.788,100488.88,1.1899,2.56563,14.45,14.146,14.005,13.825,4.928,4.82,4.876,4.852,9596.0,0.0,1.0
170,20.107,39.795,100488.88,1.19,2.56525,14.075,14.125,14.019,13.825,4.864,4.82,4.872,4.854,9650.0,0.0,1.0
171,20.107,39.795,100489.8,1.19,2.56513,13.95,14.073,14.005,13.95,4.842,4.842,4.863,4.852,9704.0,0.0,1.0
172,20.118,39.795,100489.32,1.1899,2.5635,12.325,13.548,13.669,13.825,4.551,4.82,4.772,4.793,9757.0,0.0,1.0
173,20.118,39.803,100498.74,1.19,2.56413,12.95,13.369,13.525,13.825,4.665,4.82,4.74,4.768,9811.0,0.0,1.0
174,20.096,39.811,100498.74,1.1901,2.56388,12.7,13.168,13.36,13.825,4.62,4.82,4.704,4.738,9866.0,0.0,1.0
175,20.118,39.803,100490.67,1.19,2.56475,13.575,13.29,13.403,13.825,4.777,4.82,4.726,4.746,9919.0,0.0,1.0
176,20.139,39.818,100488.81,1.1898,2.56313,11.95,12.888,13.113,13.825,4.482,4.821,4.654,4.695,9973.0,0.0,1.0
177,20.118,39.795,100491.11,1.19,2.56463,13.45,13.057,13.18,13.825,4.755,4.82,4.685,4.707,10027.0,0.0,1.0
178,20.118,39.795,100493.8,1.19,2.56525,14.075,13.362,13.359,13.825,4.864,4.82,4.739,4.738,10081.0,0.0,1.0
179,20.096,39.788,100493.8,1.1901,2.56463,13.45,13.389,13.377,13.575,4.754,4.776,4.743,4.741,10135.0,0.0,1.0
180,20.096,39.795,100493.8,1.1901,2.56625,15.075,13.895,13.717,13.575,5.033,4.776,4.832,4.801,10188.0,0.0,1.0
181,20.107,39.788,100497.83,1.1901,2.5655,14.325,14.024,13.839,13.575,4.907,4.776,4.855,4.822,10243.0,0.0,1.0
182,20.118,39.803,100493.36,1.19,2.56413,12.95,13.702,13.661,13.575,4.665,4.777,4.799,4.792,10297.0,0.0,1.0
183,20.118,39.788,100493.36,1.19,2.56363,12.45,13.326,13.419,13.45,4.574,4.755,4.733,4.749,10350.0,0.0,1.0
184,20.118,39.803,100493.8,1.19,2.56513,13.95,13.513,13.525,13.45,4.842,4.755,4.766,4.768,10404.0,0.0,1.0
185,20.118,39.795,100489.76,1.1899,2.5645,13.325,13.457,13.485,13.45,4.732,4.755,4.756,4.761,10459.0,0.0,1.0
186,20.107,39.795,100489.32,1.19,2.56513,13.95,13.605,13.578,13.575,4.842,4.777,4.782,4.777,10512.0,0.0,1.0
187,20.096,39.78,100490.234,1.19,2.56563,14.45,13.859,13.753,13.95,4.928,4.842,4.826,4.808,10566.0,0.0,1.0
188,20.118,39.788,100490.234,1.1899,2.56575,14.575,14.074,13.917,13.95,4.949,4.842,4.864,4.836,10619.0,0.0,1.0
189,20.107,39.788,100493.8,1.19,2.5645,13.325,13.849,13.799,13.95,4.732,4.842,4.824,4.816,10674.0,0.0,1.0
190,20.118,39.795,100491.11,1.19,2.56525,14.075,13.917,13.854,13.95,4.864,4.842,4.836,4.825,10728.0,0.0,1.0
191,20.128,39.788,100491.58,1.1899,2.5645,13.325,13.739,13.748,13.575,4.733,4.777,4.806,4.807,10781.0,0.0,1.0
192,20.128,39.788,100491.58,1.1899,2.56413,12.95,13.503,13.589,13.45,4.665,4.755,4.764,4.779,10835.0,0.0,1.0
193,20.096,39.795,100495.14,1.1901,2.56425,13.075,13.374,13.486,13.45,4.688,4.754,4.741,4.761,10890.0,0.0,1.0
194,20.128,39.795,100492.016,1.1899,2.565,13.825,13.51,13.554,13.45,4.82,4.755,4.765,4.773,10943.0,0.0,1.0
